City	Date	Hour	MaxTemp	MinTemp	Humidity	WindSpeed	WindDir
Lviv	2025-08-29	12:00	29.8	16.1	36	18.0	SSE
Chisinau	2025-08-29	12:00	33.7	13.9	16	25.6	SSE
Madrid	2025-08-29	12:00	28.7	18.1	36	21.2	WNW
Kyiv	2025-08-29	12:00	31.9	17.6	19	19.8	S
Amsterdam	2025-08-29	12:00	21.7	13.5	43	23.4	SSW
Lviv	2025-08-29	14:00	29.8	16.1	32	13.7	S
Chisinau	2025-08-30	12:00	35.8	16.1	19	19.8	SE
Madrid	2025-08-30	12:00	31.1	18.7	34	8.6	SW
Kyiv	2025-08-30	12:00	34.0	18.3	13	20.5	SSE
Amsterdam	2025-08-30	12:00	22.7	13.0	50	22.3	WSW
